encrypt,354,690.0,274.25904541582594,2194.0723633266075
decrypt,368,603.0,458.23179804927736,3665.854384394219
encrypt,368,694.0,529.8164272462705,4238.531417970164
decrypt,368,689.0,533.9613957518727,4271.691166014982
encrypt,368,731.0,502.8778826654714,4023.0230613237713
decrypt,368,660.0,557.4925560351977,4459.940448281582
encrypt,368,702.0,523.8143362859571,4190.514690287657
decrypt,368,671.0,548.0694106079429,4384.555284863543
encrypt,368,713.0,515.9217952283964,4127.374361827171
decrypt,368,647.0,568.2467426181969,4545.973940945575
